Time North East
11:32:09 4734122.326 268287.020
11:32:11 4734124.315 268284.810
11:32:13 4734124.465 268280.329
11:32:15 4734127.715 268278.275
11:32:17 4734128.013 268274.004
11:32:19 4734131.556 268271.482
11:32:21 4734131.228 268266.530
11:32:22 4734133.771 268267.139
11:32:24 4734134.630 268262.705
11:32:26 4734137.925 268260.219
11:32:28 4734137.634 268256.020
11:32:30 4734138.214 268253.466
11:32:32 4734140.974 268251.259
11:32:34 4734140.993 268249.780
11:32:36 4734142.158 268247.292
11:32:38 4734144.995 268244.632
11:32:40 4734147.433 268244.691
11:32:42 4734147.328 268246.919
11:32:44 4734147.253 268247.303
11:32:46 4734147.712 268249.254
11:32:48 4734150.248 268251.912
11:32:50 4734150.626 268252.608
11:32:52 4734154.573 268254.653
11:32:54 4734157.093 268256.855
11:32:56 4734156.892 268256.393
11:32:58 4734159.266 268259.273
11:33:00 4734163.075 268258.968
11:33:02 4734165.556 268259.598
11:33:04 4734169.391 268259.431
11:33:06 4734168.913 268261.714
11:33:08 4734168.880 268263.603
11:33:10 4734168.197 268268.316
11:33:12 4734165.273 268270.768
11:33:14 4734165.493 268275.261
11:33:16 4734165.325 268277.533
11:33:18 4734162.097 268281.682
11:33:20 4734161.534 268286.491
11:33:22 4734161.834 268288.618
11:33:24 4734158.386 268292.897
11:33:26 4734158.004 268297.826
11:33:28 4734158.377 268302.346
11:33:30 4734155.141 268304.925
11:33:32 4734155.560 268309.015
11:33:34 4734154.765 268313.360
11:33:36 4734151.345 268315.886
11:33:38 4734151.682 268320.565
11:33:40 4734148.595 268325.152
11:33:42 4734148.708 268327.297
11:33:44 4734145.301 268331.281
11:33:46 4734144.607 268333.557
11:33:48 4734141.394 268338.186
11:33:50 4734141.501 268342.379
11:33:52 4734137.840 268344.715
11:33:54 4734137.945 268348.954
11:33:56 4734134.252 268354.090
11:33:58 4734132.068 268355.679
11:34:00 4734131.060 268360.882
11:34:02 4734128.767 268364.767
11:34:04 4734127.883 268367.197
11:34:06 4734124.870 268372.333
11:34:08 4734125.665 268376.253
11:34:10 4734121.530 268380.760
11:34:12 4734118.497 268382.798
